step,val_phc,epoch,out_val_phc,val_loss,train_loss
843,0.0,0,0.0,13866.09375,
843,,0,,,52847.73046875
1687,0.0,1,0.0,9987.34375,
1687,,1,,,13533.2001953125
2531,0.0,2,0.0,7926.7392578125,
2531,,2,,,10826.5361328125
3375,0.0,3,0.0,7183.35986328125,
3375,,3,,,9198.0703125
4219,0.0,4,0.0,5562.99755859375,
4219,,4,,,7953.11181640625
5063,0.0,5,0.0,5959.42578125,
5063,,5,,,7454.974609375
5907,0.0,6,0.0,4762.10888671875,
5907,,6,,,6771.1171875
6751,0.0,7,0.0,4556.99267578125,
6751,,7,,,6242.41162109375
7595,0.0,8,0.0,4353.828125,
7595,,8,,,5915.658203125
8439,0.0,9,0.0,4422.11474609375,
8439,,9,,,5538.46533203125
9283,0.0,10,0.0,3915.271240234375,
9283,,10,,,5249.5126953125
10127,0.0,11,0.0,3687.011962890625,
10127,,11,,,5292.93115234375
10971,0.0,12,0.0,3673.125244140625,
10971,,12,,,4825.4921875
11815,0.0,13,0.0,3708.0595703125,
11815,,13,,,4640.06005859375
12659,0.0,14,0.0,4306.3232421875,
12659,,14,,,5125.0732421875
13503,0.0,15,0.0,3501.30859375,
13503,,15,,,4680.18798828125
14347,0.0,16,0.0,3444.944091796875,
14347,,16,,,4462.130859375
15191,0.00016666666488163173,17,0.0,3094.638427734375,
15191,,17,,,4307.56494140625
16035,0.0,18,0.0,3298.6279296875,
16035,,18,,,4202.2529296875
16879,0.0,19,0.0,3148.5439453125,
16879,,19,,,4199.75390625
17723,0.0,20,0.0,3382.384033203125,
17723,,20,,,4332.9248046875
18567,0.0010000000474974513,21,0.0010000000474974513,3208.94677734375,
18567,,21,,,4233.23779296875
19411,0.0005000000237487257,22,0.0005000000237487257,2938.069091796875,
19411,,22,,,3925.861328125
20255,0.0008333333535119891,23,0.0011666666250675917,3206.896728515625,
20255,,23,,,3750.270751953125
21099,0.0013333333190530539,24,0.0013333333190530539,2879.84130859375,
21099,,24,,,3884.14111328125
21943,0.00283333333209157,25,0.0031666667200624943,2903.477294921875,
21943,,25,,,3672.61669921875
22787,0.004000000189989805,26,0.004333333112299442,3004.444091796875,
22787,,26,,,3631.957275390625
23631,0.011500000022351742,27,0.011500000022351742,3081.1650390625,
23631,,27,,,3576.2373046875
24475,0.004000000189989805,28,0.004833333194255829,2755.036376953125,
24475,,28,,,3645.80908203125
25319,0.003000000026077032,29,0.0018333332845941186,2762.861572265625,
25319,,29,,,3466.527587890625
26163,0.004333333112299442,30,0.004166666883975267,2673.175048828125,
26163,,30,,,3434.01123046875
27007,0.0018333332845941186,31,0.0018333332845941186,2764.789306640625,
27007,,31,,,3514.425537109375
27851,0.0024999999441206455,32,0.002166666556149721,2771.886962890625,
27851,,32,,,3467.508056640625
28695,0.01616666652262211,33,0.01716666668653488,2668.871826171875,
28695,,33,,,3331.0009765625
29539,0.015833333134651184,34,0.017666665837168694,2625.104248046875,
29539,,34,,,3327.07080078125
30383,0.02666666731238365,35,0.0273333340883255,2717.5380859375,
30383,,35,,,3326.384033203125
31227,0.007833333685994148,36,0.009166666306555271,2678.5009765625,
31227,,36,,,3364.01904296875
32071,0.021666666492819786,37,0.02316666580736637,2590.75,
32071,,37,,,3238.580810546875
32915,0.03400000184774399,38,0.034833334386348724,2605.92431640625,
32915,,38,,,3216.62744140625
33759,0.027000000700354576,39,0.027000000700354576,2533.273681640625,
33759,,39,,,3307.942626953125
34603,0.02666666731238365,40,0.029666665941476822,2536.083740234375,
34603,,40,,,3323.327880859375
35447,0.02683333307504654,41,0.028333334252238274,2489.1259765625,
35447,,41,,,3190.0244140625
36291,0.029500000178813934,42,0.025333333760499954,2554.2236328125,
36291,,42,,,3140.482421875
37135,0.00283333333209157,43,0.0038333332631736994,3090.50830078125,
37135,,43,,,3231.316162109375
37979,0.025166666135191917,44,0.024833332747220993,2552.11865234375,
37979,,44,,,3326.35400390625
38823,0.040166664868593216,45,0.04183333367109299,2573.36328125,
38823,,45,,,3191.35595703125
39667,0.04100000113248825,46,0.043166667222976685,2564.45068359375,
39667,,46,,,3149.609375
